n,bits,mitigation,checksum_mode,action,fault_op,fault_site,stage,slot,bit,seed,returncode,execution_valid,fault_injections,fault_observed,golden_match,detected,corrected,max_abs_error,mean_abs_error,rms_error,relative_l2_error,snr_db,checks_performed,check_failures,stage_checks,stage_failures,s1_failures,s2_failures,recomputations,elapsed_ntt_ns,mitigation_time_ns,mod_adds,mod_subs,mod_muls,memory_reads,memory_writes
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,2,0,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,433708 ns,386746,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,2,8,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,491250 ns,438293,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,2,24,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,432292 ns,392165,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,2,26,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,429459 ns,382118,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,4,0,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,215458 ns,193626,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,4,8,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,436459 ns,389088,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,4,24,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,370627 ns,331123,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,4,26,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,308916 ns,278371,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,7,0,1,0,PASS,1,PASS,FAIL,yes,no,6.61396567e2,2.77208483e2,3.23644488e2,1.00903768e2,-40.07814769,1152,1,0,0,0,0,0,310250 ns,278544,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,7,8,1,0,PASS,1,PASS,FAIL,yes,no,6.16503329e2,2.37538475e2,2.75652092e2,8.59410116e1,-38.68400923,1152,1,0,0,0,0,0,312999 ns,279290,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,7,24,1,0,PASS,1,PASS,FAIL,yes,no,6.67959489e2,2.51466581e2,2.92423460e2,9.11698793e1,-39.19702760,1152,1,0,0,0,0,0,310542 ns,278959,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,7,26,1,0,PASS,1,PASS,FAIL,yes,no,7.59553765e2,2.76898742e2,3.21556097e2,1.00252663e2,-40.02191835,1152,1,0,0,0,0,0,311206 ns,279456,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,8,0,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,313250 ns,280957,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,8,8,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,312916 ns,280247,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,8,24,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,312000 ns,280169,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,8,26,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,311124 ns,279417,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,10,0,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,310917 ns,279797,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,10,8,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,310959 ns,279291,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,10,24,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,369669 ns,332587,1152,1152,2432,2816,2816
