n,bits,mitigation,checksum_mode,action,fault_op,fault_site,stage,slot,bit,seed,returncode,execution_valid,fault_injections,fault_observed,golden_match,detected,corrected,max_abs_error,mean_abs_error,rms_error,relative_l2_error,snr_db,checks_performed,check_failures,stage_checks,stage_failures,s1_failures,s2_failures,recomputations,elapsed_ntt_ns,mitigation_time_ns,mod_adds,mod_subs,mod_muls,memory_reads,memory_writes
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,2,0,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,36,0,36,0,0,0,0,285042 ns,257961,1152,1152,2432,2816,2816
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,2,8,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,36,0,36,0,0,0,0,254293 ns,229876,1152,1152,2432,2816,2816
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,2,24,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,36,0,36,0,0,0,0,229124 ns,206958,1152,1152,2432,2816,2816
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,2,26,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,36,0,36,0,0,0,0,228292 ns,206042,1152,1152,2432,2816,2816
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,4,0,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,36,0,36,0,0,0,0,227501 ns,205707,1152,1152,2432,2816,2816
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,4,8,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,36,0,36,0,0,0,0,297332 ns,268711,1152,1152,2432,2816,2816
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,4,24,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,36,0,36,0,0,0,0,254375 ns,229622,1152,1152,2432,2816,2816
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,4,26,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,36,0,36,0,0,0,0,254292 ns,229460,1152,1152,2432,2816,2816
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,7,0,1,0,PASS,1,PASS,FAIL,no,no,6.61396567e2,2.77208483e2,3.23644488e2,1.00903768e2,-40.07814769,36,0,36,0,0,0,0,254874 ns,230585,1152,1152,2432,2816,2816
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,7,8,1,0,PASS,1,PASS,FAIL,no,no,6.16503329e2,2.37538475e2,2.75652092e2,8.59410116e1,-38.68400923,36,0,36,0,0,0,0,254083 ns,229373,1152,1152,2432,2816,2816
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,7,24,1,0,PASS,1,PASS,FAIL,no,no,6.67959489e2,2.51466581e2,2.92423460e2,9.11698793e1,-39.19702760,36,0,36,0,0,0,0,253874 ns,229627,1152,1152,2432,2816,2816
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,7,26,1,0,PASS,1,PASS,FAIL,no,no,7.59553765e2,2.76898742e2,3.21556097e2,1.00252663e2,-40.02191835,36,0,36,0,0,0,0,228875 ns,207124,1152,1152,2432,2816,2816
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,8,0,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,36,0,36,0,0,0,0,251833 ns,228667,1152,1152,2432,2816,2816
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,8,8,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,36,0,36,0,0,0,0,228876 ns,207291,1152,1152,2432,2816,2816
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,8,24,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,36,0,36,0,0,0,0,254667 ns,229461,1152,1152,2432,2816,2816
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,8,26,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,36,0,36,0,0,0,0,228833 ns,206795,1152,1152,2432,2816,2816
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,10,0,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,36,0,36,0,0,0,0,286958 ns,258870,1152,1152,2432,2816,2816
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,10,8,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,36,0,36,0,0,0,0,254958 ns,229960,1152,1152,2432,2816,2816
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,10,24,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,36,0,36,0,0,0,0,229834 ns,208710,1152,1152,2432,2816,2816
64,28,stage-checksum,sum,detect-only,ntt,mul-output,0,10,26,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,36,0,36,0,0,0,0,228459 ns,206874,1152,1152,2432,2816,2816
