n,bits,scale_bits,ntt_impl,fault_enabled,fault_op,fault_operand,fault_site,fault_stage,fault_slot,fault_bit,mitigation,mitigation_action,checksum_mode,command,returncode,execution_valid,fault_injections,golden_match,fault_observed,detected,corrected,rms_error,relative_l2_error,max_abs_error,mean_abs_error,snr_db,elapsed_ntt_ns,scratch_bytes,checks_performed,check_failures,stage_checks,stage_failures,s1_failures,s2_failures,recomputations,mitigation_time_ns,mod_adds,mod_subs,mod_muls,memory_reads,memory_writes,stderr_tail
64,28,10,radix2,true,ntt,a,register-write,0,0,0,butterfly-check,recompute,none,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation butterfly-check --mitigation-action recompute --max-retries 1 --validate --fault --fault-op ntt --fault-operand a --fault-site register-write --fault-stage 0 --fault-slot 0 --fault-bit 0,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,144874,512,1152,1,0,0,0,0,1,128961,1152,1152,2432,2816,2816,
64,28,10,radix2,true,ntt,a,register-write,0,0,8,butterfly-check,recompute,none,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation butterfly-check --mitigation-action recompute --max-retries 1 --validate --fault --fault-op ntt --fault-operand a --fault-site register-write --fault-stage 0 --fault-slot 0 --fault-bit 8,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,143751,512,1152,1,0,0,0,0,1,128961,1152,1152,2432,2816,2816,
64,28,10,radix2,true,ntt,a,register-write,0,0,24,butterfly-check,recompute,none,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation butterfly-check --mitigation-action recompute --max-retries 1 --validate --fault --fault-op ntt --fault-operand a --fault-site register-write --fault-stage 0 --fault-slot 0 --fault-bit 24,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,367835,512,1152,1,0,0,0,0,1,332127,1152,1152,2432,2816,2816,
64,28,10,radix2,true,ntt,a,register-write,0,0,26,butterfly-check,recompute,none,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation butterfly-check --mitigation-action recompute --max-retries 1 --validate --fault --fault-op ntt --fault-operand a --fault-site register-write --fault-stage 0 --fault-slot 0 --fault-bit 26,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,436291,512,1152,1,0,0,0,0,1,387876,1152,1152,2432,2816,2816,
64,28,10,radix2,true,ntt,a,register-write,0,1,0,butterfly-check,recompute,none,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation butterfly-check --mitigation-action recompute --max-retries 1 --validate --fault --fault-op ntt --fault-operand a --fault-site register-write --fault-stage 0 --fault-slot 1 --fault-bit 0,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,418168,512,1152,1,0,0,0,0,1,377331,1152,1152,2432,2816,2816,
64,28,10,radix2,true,ntt,a,register-write,0,1,8,butterfly-check,recompute,none,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation butterfly-check --mitigation-action recompute --max-retries 1 --validate --fault --fault-op ntt --fault-operand a --fault-site register-write --fault-stage 0 --fault-slot 1 --fault-bit 8,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,142917,512,1152,1,0,0,0,0,1,128244,1152,1152,2432,2816,2816,
64,28,10,radix2,true,ntt,a,register-write,0,1,24,butterfly-check,recompute,none,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation butterfly-check --mitigation-action recompute --max-retries 1 --validate --fault --fault-op ntt --fault-operand a --fault-site register-write --fault-stage 0 --fault-slot 1 --fault-bit 24,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,269958,512,1152,1,0,0,0,0,1,241623,1152,1152,2432,2816,2816,
64,28,10,radix2,true,ntt,a,register-write,0,1,26,butterfly-check,recompute,none,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation butterfly-check --mitigation-action recompute --max-retries 1 --validate --fault --fault-op ntt --fault-operand a --fault-site register-write --fault-stage 0 --fault-slot 1 --fault-bit 26,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,415127,512,1152,1,0,0,0,0,1,376455,1152,1152,2432,2816,2816,
64,28,10,radix2,true,ntt,a,register-write,0,2,0,butterfly-check,recompute,none,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation butterfly-check --mitigation-action recompute --max-retries 1 --validate --fault --fault-op ntt --fault-operand a --fault-site register-write --fault-stage 0 --fault-slot 2 --fault-bit 0,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,422542,512,1152,1,0,0,0,0,1,382540,1152,1152,2432,2816,2816,
64,28,10,radix2,true,ntt,a,register-write,0,2,8,butterfly-check,recompute,none,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation butterfly-check --mitigation-action recompute --max-retries 1 --validate --fault --fault-op ntt --fault-operand a --fault-site register-write --fault-stage 0 --fault-slot 2 --fault-bit 8,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,449498,512,1152,1,0,0,0,0,1,400423,1152,1152,2432,2816,2816,
64,28,10,radix2,true,ntt,a,register-write,0,2,24,butterfly-check,recompute,none,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation butterfly-check --mitigation-action recompute --max-retries 1 --validate --fault --fault-op ntt --fault-operand a --fault-site register-write --fault-stage 0 --fault-slot 2 --fault-bit 24,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,430792,512,1152,1,0,0,0,0,1,388292,1152,1152,2432,2816,2816,
64,28,10,radix2,true,ntt,a,register-write,0,2,26,butterfly-check,recompute,none,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation butterfly-check --mitigation-action recompute --max-retries 1 --validate --fault --fault-op ntt --fault-operand a --fault-site register-write --fault-stage 0 --fault-slot 2 --fault-bit 26,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,421583,512,1152,1,0,0,0,0,1,380375,1152,1152,2432,2816,2816,
64,28,10,radix2,true,ntt,a,register-write,0,3,0,butterfly-check,recompute,none,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation butterfly-check --mitigation-action recompute --max-retries 1 --validate --fault --fault-op ntt --fault-operand a --fault-site register-write --fault-stage 0 --fault-slot 3 --fault-bit 0,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,415333,512,1152,1,0,0,0,0,1,375041,1152,1152,2432,2816,2816,
