n,bits,scale_bits,ntt_impl,fault_enabled,fault_op,fault_operand,fault_site,fault_stage,fault_slot,fault_bit,mitigation,mitigation_action,checksum_mode,command,returncode,execution_valid,fault_injections,golden_match,fault_observed,detected,corrected,rms_error,relative_l2_error,max_abs_error,mean_abs_error,snr_db,elapsed_ntt_ns,scratch_bytes,checks_performed,check_failures,stage_checks,stage_failures,s1_failures,s2_failures,recomputations,mitigation_time_ns,mod_adds,mod_subs,mod_muls,memory_reads,memory_writes,stderr_tail
64,28,10,radix2,true,ntt,a,register-write,0,0,0,stage-checksum,recompute,sum,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation stage-checksum --mitigation-action recompute --max-retries 1 --checksum-mode sum --validate --fault --fault-op ntt --fault-operand a --fault-site register-write --fault-stage 0 --fault-slot 0 --fault-bit 0,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,155542,512,36,1,36,1,1,0,1,141793,1152,1152,2432,2816,2816,
64,28,10,radix2,true,ntt,a,register-write,0,0,8,stage-checksum,recompute,sum,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation stage-checksum --mitigation-action recompute --max-retries 1 --checksum-mode sum --validate --fault --fault-op ntt --fault-operand a --fault-site register-write --fault-stage 0 --fault-slot 0 --fault-bit 8,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,155293,512,36,1,36,1,1,0,1,140332,1152,1152,2432,2816,2816,
64,28,10,radix2,true,ntt,a,register-write,0,0,24,stage-checksum,recompute,sum,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation stage-checksum --mitigation-action recompute --max-retries 1 --checksum-mode sum --validate --fault --fault-op ntt --fault-operand a --fault-site register-write --fault-stage 0 --fault-slot 0 --fault-bit 24,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,409167,512,36,1,36,1,1,0,1,369080,1152,1152,2432,2816,2816,
64,28,10,radix2,true,ntt,a,register-write,0,0,26,stage-checksum,recompute,sum,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation stage-checksum --mitigation-action recompute --max-retries 1 --checksum-mode sum --validate --fault --fault-op ntt --fault-operand a --fault-site register-write --fault-stage 0 --fault-slot 0 --fault-bit 26,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,402499,512,36,1,36,1,1,0,1,366292,1152,1152,2432,2816,2816,
64,28,10,radix2,true,ntt,a,register-write,0,1,0,stage-checksum,recompute,sum,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation stage-checksum --mitigation-action recompute --max-retries 1 --checksum-mode sum --validate --fault --fault-op ntt --fault-operand a --fault-site register-write --fault-stage 0 --fault-slot 1 --fault-bit 0,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,425333,512,36,1,36,1,1,0,1,389461,1152,1152,2432,2816,2816,
64,28,10,radix2,true,ntt,a,register-write,0,1,8,stage-checksum,recompute,sum,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation stage-checksum --mitigation-action recompute --max-retries 1 --checksum-mode sum --validate --fault --fault-op ntt --fault-operand a --fault-site register-write --fault-stage 0 --fault-slot 1 --fault-bit 8,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,499125,512,36,1,36,1,1,0,1,451166,1152,1152,2432,2816,2816,
64,28,10,radix2,true,ntt,a,register-write,0,1,24,stage-checksum,recompute,sum,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation stage-checksum --mitigation-action recompute --max-retries 1 --checksum-mode sum --validate --fault --fault-op ntt --fault-operand a --fault-site register-write --fault-stage 0 --fault-slot 1 --fault-bit 24,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,426251,512,36,1,36,1,1,0,1,371042,1152,1152,2432,2816,2816,
64,28,10,radix2,true,ntt,a,register-write,0,1,26,stage-checksum,recompute,sum,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation stage-checksum --mitigation-action recompute --max-retries 1 --checksum-mode sum --validate --fault --fault-op ntt --fault-operand a --fault-site register-write --fault-stage 0 --fault-slot 1 --fault-bit 26,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,421083,512,36,1,36,1,1,0,1,370831,1152,1152,2432,2816,2816,
64,28,10,radix2,true,ntt,a,register-write,0,2,0,stage-checksum,recompute,sum,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation stage-checksum --mitigation-action recompute --max-retries 1 --checksum-mode sum --validate --fault --fault-op ntt --fault-operand a --fault-site register-write --fault-stage 0 --fault-slot 2 --fault-bit 0,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,484877,512,36,1,36,1,1,0,1,445544,1152,1152,2432,2816,2816,
64,28,10,radix2,true,ntt,a,register-write,0,2,8,stage-checksum,recompute,sum,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation stage-checksum --mitigation-action recompute --max-retries 1 --checksum-mode sum --validate --fault --fault-op ntt --fault-operand a --fault-site register-write --fault-stage 0 --fault-slot 2 --fault-bit 8,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,428751,512,36,1,36,1,1,0,1,389665,1152,1152,2432,2816,2816,
64,28,10,radix2,true,ntt,a,register-write,0,2,24,stage-checksum,recompute,sum,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation stage-checksum --mitigation-action recompute --max-retries 1 --checksum-mode sum --validate --fault --fault-op ntt --fault-operand a --fault-site register-write --fault-stage 0 --fault-slot 2 --fault-bit 24,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,406209,512,36,1,36,1,1,0,1,368375,1152,1152,2432,2816,2816,
64,28,10,radix2,true,ntt,a,register-write,0,2,26,stage-checksum,recompute,sum,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation stage-checksum --mitigation-action recompute --max-retries 1 --checksum-mode sum --validate --fault --fault-op ntt --fault-operand a --fault-site register-write --fault-stage 0 --fault-slot 2 --fault-bit 26,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,442709,512,36,1,36,1,1,0,1,398246,1152,1152,2432,2816,2816,
64,28,10,radix2,true,ntt,a,register-write,0,3,0,stage-checksum,recompute,sum,cargo run -- ckks-demo --n 64 --bits 28 --scale-bits 10 --ntt-impl radix2 --mitigation stage-checksum --mitigation-action recompute --max-retries 1 --checksum-mode sum --validate --fault --fault-op ntt --fault-operand a --fault-site register-write --fault-stage 0 --fault-slot 3 --fault-bit 0,0,PASS,1,PASS,FAIL,yes,yes,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,430792,512,36,1,36,1,1,0,1,391375,1152,1152,2432,2816,2816,
