n,bits,mitigation,action,repeat,elapsed_ntt_ns,mitigation_time_ns,checks_performed,check_failures,stage_checks,stage_failures,recomputations,mod_adds,mod_subs,mod_muls,memory_reads,memory_writes
2048,28,none,detect-only,1,5799835 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,2,6009915 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,3,5849208 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,4,5880581 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,5,5862624 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,6,5941335 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,7,5867292 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,8,5885000 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,9,5859875 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,10,5857668 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,11,5851334 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,12,5883167 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,13,5898043 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,14,5814084 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,15,5861583 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,16,5783584 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,17,5842333 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,18,5878291 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,19,5877125 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,20,5861249 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,21,5871544 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,22,5871498 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,23,5903791 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,24,5915626 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,25,5892583 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,28,none,detect-only,26,5711668 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
